"נחל","תאריך שטיפה","מקור","שם הגב","מצב הגב","תאריך עדכון גבים","מקור גבים","עוד קישורים","הערות","Latitude","Longitude"
"צפון מדבר יהודה","","","","","","","","","",""
"אוג","","","","","","","","","",""
"קדרון (מזוהם)","25/11/2025","וואטסאפ - חבר שגר באבנת","","","","","","","",""
"דרגה","15/11/2025","מראה עיניים","","","","","","","",""
"חצצון","15/11/2025","טלגרם","גב חצצון","","","","","","31.561408","35.38287"
"מזין","","","גב מזין","יבש","29/11/2025","","","","31.682737","35.434801"
"פרת","","","","","","","","","",""
"קדם","","","","","","","","","",""
"קומראן","25/11/2025","מראה עיניים","","","","","","","",""
"תמרים","","","","","","","","","",""
"","","","","","","","","","",""
"דרום מדבר יהודה","","","","","","","","","",""
"אשלים","14/11/2025","","גבי אשלים","מלאים","17/11/2025","https://www.facebook.com/groups/221610213468649/permalink/1147522947544033/?mibextid=rS40aB7S9Ucbxw6v","","","31.0665641","35.3253547"
"דוד","14/11/2025","","גב חלון","מלא ועמוק","21/11/2025","https://t.me/hashamba/14403","","","31.4715366","35.3845129"
"הרדוף","","","גבי הרדוף","יבש","30/11/2025","מראה עיניים","","","31.3682919","35.3009453"
"זוהר","14/11/2025","https://www.facebook.com/groups/myisrael100/permalink/26069897329265528/","גב זוהר","מלא","15/11/2025","https://www.facebook.com/groups/myisrael100/posts/26078080081780586/","","","31.151249","35.345829"
"חבר","14/11/2025","https://www.facebook.com/groups/myisrael100/posts/26070744945847433/77:","גבי חבר","","","","","","31.433278","35.332049"
"חלמיש","15/11/2025","רודפי שלום, שלווה ושיטפונות","","","","","","","",""
"חמר","25/11/2025","מראה עיניים ","","גבים מלאים","15/11/2025","נחל חימר 15.11 .","","","",""
"משמר","","מראה עיניים","","כמה גבים קטנים מלאים מים שחורים, כנראה מגשם מקומי ","19/11/2025","https://www.facebook.com/groups/myisrael100/posts/26079208125001115/?__cft__[0]=AZWwyQRczLbMrW2eTQIRtBqhJcXlh2GdNl3DC4LlsKo88gojAUOKsoeEKkuvBZ5bep_pQitJ6kyVXIgwR22Q2mDW8ndDwyOpgIJoy1ZY5xyXBIh-gIzfxlb18zlVU1cA2XF-AewuTLyeSthZAc9z_Ywo&__tn__=%2CO%2CP-R","","","",""
"עמיעז","15/11/2025","מראה עיניים","","","","","","","",""
"ערוגות","15/11/2025","https://www.facebook.com/share/p/1FC9HqzWiq/","מחרס דלל","","","","","","31.381188","35.347384"
"צאלים","15/11/2025","https://www.facebook.com/groups/myisrael100/permalink/26095687743353153https://www.facebook.com/groups/myisrael100/permalink/26095687743353153","בריכת צפירה","מלא","21/11/2025","מראה עיינים","","","31.467956","35.343034"
"","","","בריכת נעמה","יבשה, השיטפון לא הגיע לחלק התחתון של הנחל","27/11/2025","מראה עיניים","","","31.3374989","35.277454"
"","","","גבי צאלים עליון","","","","","","31.345018","35.29631"
"קינה","","","גב קינה","חצי מלא, הנחל שטף חלש","28/11/2025","https://www.facebook.com/share/p/1BM5W5PYSJ/","","","31.1975307","35.1672249"
"רחף","לא שטף!","","גב רחף","  ","","","","","31.287311","35.3615624"
"שפן","","","","","","","","","",""
"","","","","","","","","","",""
"הנגב הצפוני","","","","","","","","","",""
"גוב","","","","","","","","","30.9085216","35.1250641"
"דרוך","","","גב דרוך","","","","","","",""
"החלק","","","גבי נחל החלק","","","","","","30.837496","35.019138"
"זרחן","","","גב זרחן","לא שטף. מעט מים דלוחים.","22/11/2025","מראה עיניים","","","30.8343105","34.958504"
"","","","עין אום תינה","יבש","22/11/2025","מראה עיניים","","","30.817783","34.944786"
"חגור","","","עין אורחות","","","","","","",""
"חווה","","","גב חווה","","","","","","30.7279053","34.9036674"
"חצרה","","","גב חצרה","","","","","","30.933475","35.242565"
"חתירה","","","עין ירקעם","","","","","","30.9381161","35.0407372"
"טרף","","","גבי טרף","","","","","","",""
"ימין","","","גבי ימין","","","","","","30.9439447","35.0731331"
"מזר","","","גב מזר","","","","","","",""
"ממשית","","","גב ממשית","","","","","","",""
"מרזבה","","","עין אום צלח","","","","","","30.6984272","35.037281"
"עקרבים","","","","","","","","","",""
"עפרן","","","גבי עפרן","","","","","","30.8768547","34.9214297"
"צין","25/11/25","https://www.facebook.com/share/p/1CXiHH86fC/","הג'קוזי של הצין","מלא","25/11/2025","","","","30.826755","34.920504"
"","","","גבי קניון צין","","","","","","30.8048191","34.9648056"
"","","","גבי צין","","","","","","30.9050715","35.2005087"
"","","","גבי עין מעריף","מלא","25/11/2025","","","בור רמליה מלא","",""
"צרור","","","גב צרור","","","","","","30.8567238","34.822567"
"שועלים","","","גב עקב","ריק","28/11/2025","מראה עיניים","","","30.9694405","34.9396782"
"","","","גב שועלים","ריק","28/11/2025","מראה עיניים","","","30.9616547","34.9176865"
"שרף","29/11/2025","מראה עיניים, ריק עליון ותחתון ","גבי שרף","ריק","29/11/2025","וואטסאפ","","","30.782711","35.0285072"
"","","","גב שרף עליון","","","","","","30.763016","35.028801"
"","","","","","","","","","",""
"מכתש רמון","","","","","","","","","",""
"גלד","","","גב חולית","","","","","","30.6339836","35.0460663"
"ילק","","","גב ילק","","","","","","30.5584507","34.9116173"
"נקרות","","","פרסת נקרות","","","","","","30.5984802","34.9457016"
"עודד","","","גב עודד","","","","","","30.5279403","34.7225564"
"רמון","","","גב שער רמון","","","","","","",""
