נחל	תאריך שטיפה	מקור	שם הגב	מצב הגב	תאריך עדכון גבים	מקור גבים	עוד קישורים	הערות	Latitude	Longitude
צפון מדבר יהודה										
מכוך										
מכמש										
פרת	11/12/2025	מראה עיניים						הייתי בחניון הצינורות בשעה 16:30 בתאריך 11.12.2025. הנחל לא זרם חזק בכלל		
א-סויד										
אוג	29/12/2025	https://www.facebook.com/share/p/1DSJRxyddE/			28/12/2025	פייסבוק				
חארמון										
אבוטילון/קלי"ה										
קומראן	29/12/2025	https://www.facebook.com/share/v/1S12TYnnxo/								
צוקים	11/12/2025									
פשחה	11/12/2025									
הקשת	11/12/2025									
התנור	11/12/2025									
א-סמרה	11/12/2025									
מח'רס צפוני										
מח'רס										
מח'רס דרומי										
מזין	15/12/2025	טלגרם							31.682737	35.434:801
קדרון (מזוהם)	11/12/2025									
אם קוניץ (דקלים)										
טבק (אפרסמון)										
מטעים										
תמרים	11/12/2025	https://www.facebook.com/groups/myisrael100/permalink/26301449129443679/?mibextid=Nif5oz								
קנה	11/12/2025	https://www.facebook.com/share/v/17inxX9VKA/								
מואה		צרור								
סמר										
אל-מריה										
טור										
בולען										
דרגה	11/12/2025									
תקוע	29/12/2025	מראה עיניים	גבי נחל תקוע							
חצצון	11/12/2025		גב חצצון						31.561408	35.38287
סדקים										
מצפה ארנון										
סלוודורה	11/12/2025	https://www.facebook.com/share/v/17eEFRrEVx/								
קדם	11/12/2025	https://www.facebook.com/share/p/1Bq6ve1gN1/								
יוריק										
המלט										
התאנים										
ישי	11/12/2025	https://www.facebook.com/share/p/1Bq6ve1gN1/								
דוד	14/11/2025		גב חלון	מלא סחף	21/11/2025	https://t.me/hashamba/14403			31.4715366	35.3845129
ערוגות	29/12/2025	https://www.facebook.com/share/p/1ERF13qsHY/	מחרס דלל						31.467956	35.343034
דרום מדבר יהודה										
ואדי אל מעזה										
אבישי										
צרויה										
חבר	11/12/2025	https://www.facebook.com/share/p/1aaXyUdVF8/	גבי חבר						31.433278	35.332049
חולד										
עשהאל	11/12/2025	מצלמת שביל - מחקר אקדמי								
משמר	11/12/2025	מראה עיניים		מלא ומדהים!	19/11/2025	https://www.facebook.com/groups/myisrael100/posts/26079208125001115/?__cft__[0]=AZWwyQRczLbMrW2eTQIRtBqhJcXlh2GdNl3DC4LlsKo88gojAUOKsoeEKkuvBZ5bep_pQitJ6kyVXIgwR22Q2mDW8ndDwyOpgIJoy1ZY5xyXBIh-gIzfxlb18zlVU1cA2XF-AewuTLyeSthZAc9z_Ywo&__tn__=%2CO%2CP-R			31.381188	35.347384
מפלט	11/12/2025	מצלמת שביל - מחקר אקדמי								
הרדוף	11/12/2025		גבי הרדוף	יבש	30/11/2025	מראה עיניים			31.3682919	35.3009453
שפן	11/12/2025									
צאלים	28/12/2025	https://www.facebook.com/share/p/17jgXk9boG/	בריכת צפירה	מלא	21/11/2025	מראה עיינים			31.3374989	35.277454
			בריכת נעמה	יבשה, השיטפון לא הגיע לחלק התחתון של הנחל	27/11/2025	מראה עיניים			31.345018	35.29631
			גבי צאלים עליון							
גורני										
ענבה	11/12/2025									
מבצר										
מורדים										
בן יאיר										
מצדה										
קנאים										
אלעזר/לגיון										
רחף	28/12/2025		גב רחף	  					31.287223	35.361118
מור										
קינמון										
יעלים	28/12/2025	מראה עיניים								
פרסה										
בוקק										
זוהר	15/12/2025	https://www.facebook.com/share/v/17oKA6trMu/	גב זוהר	מלא	15/11/2025	https://www.facebook.com/groups/myisrael100/posts/26078080081780586/			31.151249	35.345829
חלמיש	15/12/2025	https://www.facebook.com/share/v/17oKA6trMu/								
חמר (תחתון)	25/11/2025	https://www.facebook.com/share/p/1D5nnwepos/		גבים מלאים	15/11/2025	נחל חימר 15.11 .				
לוט										
בקיעים										
פרצים										
עמיעז	15/11/2025	מראה עיניים								
צפית										
עזגד										
אשלים	14/11/2025		גבי אשלים	מלאים	17/11/2025	https://www.facebook.com/groups/221610213468649/permalink/1147522947544033/?mibextid=rS40aB7S9Ucbxw6v			31.0665641	35.3253547
חמרית (תחתון)										
אדמון (תחתון)										
צורים										
פרס (תחתון)	06/12/2025	וואטסאפ	גבי פרס	מלא		https://www.facebook.com/share/p/16X63D2HeU/			31.009474	35.288609
תמר (תחתון)										
צפית (תחתון)	06/12/2025	https://www.facebook.com/share/p/16j43kuU3W/	עין צפית	יבש	26/12/2025	עיניים			31.0170689	35.2253075
הר הנגב הצפוני										
רכס חצרה										
חמרית (עליון)										
אדמון (עליון)										
פרס (עליון)										
תחמס										
תחמסון										
תחמסנוצ׳יק										
תמר (עליון)										
צפית (עליון)										
